ulasan,sentiment
@mazzini_gsp Usut tuntas pak aparat jangan pandang bulu #kerjapolisi,
Survei Indopol: Mayoritas Publik Puas dengan Kinerja Polri Selama 2022 #kinerjapolisi https://t.co/tTtyCLqqvo,
"@Bam16947005 @cruewiy @tanyarlfes Bisa, jadi auditor, semisal kuliah akuntansi. Jadi investigator juga bisa kalau jadi polisi. Sama mungkin yang kerja di PPATK tuh, butuh ilmu buat menelusuri harta/aset orang.  Alternatif: jadi detektif swasta.",
"@sandiuno Salut beserta senang campur bahagia bila mlihat kerja pak Sandi yg slalu membantu masyarakat untuk hidup, berusaha lebih baik lagi... O ya bisakah anda membantu usaha rakyat di Muba terutama usaha penyulingan minyak yg slalu menjadi korban aparat, sedangkan punya polisi aman saja",
Apa harus bgt ada bpkb pak @TMCPoldaMetro kalo kehilangan motor? Masalah nya ini udah 4 motor loh hilang gitu aja tapi gk ada tu sama sekali polisi identifikasi atau ngecek ke tkp? Mbok ya ngapain aja ya kerja nya? Apa harus viral dulu kah baru kerja?,
RAPAT KOORDINASI PEMBAHASAN PROGRAM KERJA TIM PENGGERAK LEMBUR CEPOT. #kampungbebasnarkoba #bebasnarkoba #narkoba #kampungantinarkoba #kampungbersinar #kotabandung #bandung #polisi #polisiindonesia #polisiganteng #karta #karangtaruna #jabarjuara #jawabarat https://t.co/Sxam0cO3zA,
@chjisuu aliapaca ni kerja sambilan sebagai polisi ya?,
@txtdrimedia Polisi cybernya kerja gak ya,
"@HailOfMary Lara aja hey!  Ah ya juga, ditahan polisi, nggak jadi kerja besoknya. Jadi pengangguran. Sedih.",
"Menurut Joko, AJI menuntut agar polisi dan institusi lembaga negara yang lain menghargai kerja jurnalis. Mereka harus paham bahwa jurnalis diamanatkan untuk melakukan kontrol sosial.",
"Kronologi Meninggalnya Satria TKI di Arab Saudi, Kerja di Asrama Polisi Jedda, Kerap Bantu Keluarga https://t.co/783KxFjPlE",
"@worksfess Saran bagi tmn2 yg mau ikutan tes cpns. Pertimbangkan baik2 lokasi tmpt kerja. Daerah terpencil tuh susah dapat air, sinyal dan listrik. Dan lagi rawan kejahatan terutama utk perempuan. Polisi ga ada, dokter jg ga ada. Klo ada apa2 belum tentu warga desa peduli. Think again.",
@DoankWarto Enyataannya skrg polisi udara yg paling jelek kan? Mau ngeles apa lgi? Ini fakta yg tak terbantahkan. Berarti gubernur yg skrg GK becus kerja. Bener ap bener?,
Menggapai Keberkahan Kerja  @divisihumaspolri @humaspoldajatim #polresjemberbisa #polisipenolongpresisi #polisipenolong #polisimenolongmasyarakat #polisimenolongmasyarakatjember #polripresisi #polisijember #akbpmohnurhidayat https://t.co/tDski9skrk,
"ini ada 2 season, season 1 tentang kerja sama antara polisi, pemadam kebakaran dan paramedis. season 2 lebih detail karena NFS alias forensik bakal gabung.",
"@kumparan ga ada korelasinya polisi tolol, riset dulu, libatkan pihak yg ahli, jangan asal kerja tanpa mikir anjing!",
"Kapolda Aceh Irjen Ahmad Haydar bersama Wakapolda Brigjen Syamsul Bahri mendampingi Kalemdiklat Polri Komjen Purwadi Arianto melaksanakan kunjungan kerja ke Sekolah Polisi Negara (SPN) Polda Aceh di Seulawah, Kabupaten Aceh Besar.  @DivHumas_Polri   #bidhumaspoldaaceh #poldaaceh https://t.co/TZLa4pniIW",
13 polisi/wan di kuningan ngapain hayoo? yg kerja ngatur lalu lintas siapa tebak? 2 org dishub xixixi,
"@AdvokatSyukniTP @kurawa @ST_Burhanuddin Ya selama kontrak kerja seumur hidup jg santai aja. Di negara superpower, asn militer polisi basis kontrak kerjanya hanya per 3 atau 4 tahun. Bahkan 2024 Partai Republik (bila menang) akan menetapkan masa kerja ASN max 8 tahun (2x kontrak max). Term limit applies...",
"@convomfs maling ayam satu ekor seharga 50k paling mahal 100k digebukin, ditangkep polisi, dipenjara 5 tahun.  maling duit rakyat sampe M M an, pencitraan dikit diperiksa kpk habis tu jalanÂ² keluar negeri, pulangÂ² tetep masuk kerja haha hihi sama rekanny.  gitu lah kiraÂ² gambaran simpleny.",
"@inijoejoe @Chebong_s3xy Betul Mak, Sy baru pulang kerja, terkejut kok ada urusan hingga polisi. Sy mendoakan semoga lekas selesai, dan semuanya baik baik sj. Salam damai dr buruh pabrik Karawang. âï¸?",
"Kami Sore Ini....."" Kerja Bareng Perbekel Desa Peguyangan Kangin, Polsek Denpasar Utara, Polisi Banjar Hebat Polresta Denpasar, dalam mediasi, cari solusi, dan menangani konflik sosial yang terjadi di masyarakat. . . . #problemsolving #pemecahanmasalah https://t.co/jkyY8B1SOE""",
Lohh kok gini sihh? Padahal gk ada yg viralin tp si bapak polisi yg cuti ttp kerja,
"Karhutla di Lereng Gunung Arjuno, Polisi Kerja Sama dengan Relawan Selidiki Pemicunya    https://t.co/X4z3s19a25",
@PolJokesID Masalah polusi dan kemacetan di Jabodetabek ga akan pernah selesai selama pejabatnya aja ga pernah dipaksa naik kendaraan umum. Selama ini mereka ga pernah ngerasain polusi (secara langsung) dan kemacetan karena kerja di dalem gedung nyaman dan pergi-pulang kerja dikawal polisi.,
"@amelcewaw36645 Soal sambo &amp  antek2 nya sih cuma alasan yg mengada2 saja di bilang berjasa. Heran kok di bilang berjasa, kan dia itu kerja jadi polisi juga di bayar tinggi.  Dia kan Bukan pahlawan yg berkorban untuk negara tanpa bayaran , seperti Diponegoro dll, baru mrk bisa di bilang berjasa.",
@kumparan Lhaa sekarang polisi rangkap kerja di dinas lingkungan hidup juga.??,
"@WAHYU_UNIFORM @CNNIndonesia https://t.co/cpDqPK8LL6 Beda sama Pa Jokowi, Pa Jokowi di hina2 kadrun, tp Pa Jokowi tidak mau melaporkan hinaan nya ke Polisi,  Hinaan buat Pa Jokowi dibalas dengan kerja Keras Pa Jokowi..",
Td pagi pas berangkat kerja kaget di lampu merah pemuda-cipto bnyk polisi,
"@AntiPengPeng @jansen_jsp @BPOM_RI Beritanya, oknum TNI itu ada terlibat bisnis ilegal obat-obatan, Bukan narkoba katanya, cuma mungkin toko obatnya tidak bersedia kerja sama, jadi diperas deh.  Ada berita, oknum TNI dan Paspampres itu menyamar sebagai polisi, yg menyidak toko obatnya dan memeras. Mana yg benar tu",
@Metro_TV Kayak GK ada orang cerdas aja di Indonesia kecuali memperbolehkan penjahat jadi calek ....apa gunanya minta keterangan baik ke polisi saat mau kerja ..,
Tadi mau berangkat kerja di pusdik rame banget banyak mobil pejabat yg keluar terus banyak polisi mudanya ini tuh polisi muda yg biasa polisi sliweran di tiktok jadi selebtok gitu mukanya,
